Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
11.10,-116.69753609,32.72515610,1844.00,0.00000,0.00000,0.00000
11.10,-116.69753609,32.72515610,1844.00,0.00000,0.00000,0.00000
11.10,-116.69753609,32.72515610,1844.00,0.00000,0.00000,0.00000
11.10,-116.69753609,32.72515610,1844.00,0.00000,0.00000,0.00000
11.10,-116.69753609,32.72515610,1844.00,0.00000,0.00000,0.00000
11.20,-116.69625470,32.73081546,974.00,0.00000,0.00000,0.00000
11.20,-116.69625470,32.73081546,974.00,0.00000,0.00000,0.00000
11.20,-116.69625470,32.73081546,974.00,0.00000,0.00000,0.00000
11.20,-116.69625470,32.73081546,974.00,0.00000,0.00000,0.00000
11.20,-116.69625470,32.73081546,974.00,0.00000,0.00000,0.00000
11.20,-116.69625470,32.73081546,974.00,0.00000,0.00000,0.00000
11.20,-116.70372947,32.71707130,1304.00,0.00000,0.00000,0.00000
11.20,-116.70372947,32.71707130,1304.00,0.00000,0.00000,0.00000
11.20,-116.70372947,32.71707130,1304.00,0.00000,0.00000,0.00000
11.20,-116.70372947,32.71707130,1304.00,0.00000,0.00000,0.00000
11.20,-116.70372947,32.71707130,1304.00,0.00000,0.00000,0.00000
11.20,-116.70372947,32.71707130,1304.00,0.00000,0.00000,0.00000
11.20,-116.69913782,32.72964766,-176.00,0.00000,0.00000,0.00000
11.20,-116.69913782,32.72964766,-176.00,0.00000,0.00000,0.00000
11.20,-116.69913782,32.72964766,-176.00,0.00000,0.00000,0.00000
11.20,-116.69913782,32.72964766,-176.00,0.00000,0.00000,0.00000
11.20,-116.69913782,32.72964766,-176.00,0.00000,0.00000,0.00000
11.20,-116.69913782,32.72964766,-176.00,0.00000,0.00000,0.00000
11.20,-116.70052599,32.71042380,1854.00,0.00000,0.00000,0.00000
11.20,-116.70052599,32.71042380,1854.00,0.00000,0.00000,0.00000
11.20,-116.70052599,32.71042380,1854.00,0.00000,0.00000,0.00000
11.20,-116.70052599,32.71042380,1854.00,0.00000,0.00000,0.00000
11.20,-116.70052599,32.71042380,1854.00,0.00000,0.00000,0.00000
11.20,-116.70052599,32.71042380,1854.00,0.00000,0.00000,0.00000
11.20,-116.69764287,32.72515610,1854.00,0.00000,0.00000,0.00000
11.20,-116.69764287,32.72515610,1854.00,0.00000,0.00000,0.00000
11.20,-116.69764287,32.72515610,1854.00,0.00000,0.00000,0.00000
11.20,-116.69764287,32.72515610,1854.00,0.00000,0.00000,0.00000
11.20,-116.69764287,32.72515610,1854.00,0.00000,0.00000,0.00000
11.20,-116.69764287,32.72515610,1854.00,0.00000,0.00000,0.00000
11.30,-116.69636148,32.73081546,974.00,0.00000,0.00000,0.00000
11.30,-116.69636148,32.73081546,974.00,0.00000,0.00000,0.00000
11.30,-116.69636148,32.73081546,974.00,0.00000,0.00000,0.00000
11.30,-116.69636148,32.73081546,974.00,0.00000,0.00000,0.00000
11.30,-116.69636148,32.73081546,974.00,0.00000,0.00000,0.00000
11.30,-116.69636148,32.73081546,974.00,0.00000,0.00000,0.00000
11.30,-116.70383625,32.71698147,1314.00,0.00000,0.00000,0.00000
11.30,-116.70383625,32.71698147,1314.00,0.00000,0.00000,0.00000
11.30,-116.70383625,32.71698147,1314.00,0.00000,0.00000,0.00000
11.30,-116.70383625,32.71698147,1314.00,0.00000,0.00000,0.00000
11.30,-116.70383625,32.71698147,1314.00,0.00000,0.00000,0.00000
11.30,-116.70383625,32.71698147,1314.00,0.00000,0.00000,0.00000
11.30,-116.69935139,32.72964766,-186.00,0.00000,0.00000,0.00000
11.30,-116.69935139,32.72964766,-186.00,0.00000,0.00000,0.00000
11.30,-116.69935139,32.72964766,-186.00,0.00000,0.00000,0.00000
11.30,-116.69935139,32.72964766,-186.00,0.00000,0.00000,0.00000
11.30,-116.69935139,32.72964766,-186.00,0.00000,0.00000,0.00000
11.30,-116.69935139,32.72964766,-186.00,0.00000,0.00000,0.00000
11.30,-116.70063278,32.71033397,1874.00,0.00000,0.00000,0.00000
11.30,-116.70063278,32.71033397,1874.00,0.00000,0.00000,0.00000
11.30,-116.70063278,32.71033397,1874.00,0.00000,0.00000,0.00000
11.30,-116.70063278,32.71033397,1874.00,0.00000,0.00000,0.00000
11.30,-116.70063278,32.71033397,1874.00,0.00000,0.00000,0.00000
11.30,-116.70063278,32.71033397,1874.00,0.00000,0.00000,0.00000
11.30,-116.69774965,32.72515610,1874.00,0.00000,0.00000,0.00000
11.30,-116.69774965,32.72515610,1874.00,0.00000,0.00000,0.00000
11.30,-116.69774965,32.72515610,1874.00,0.00000,0.00000,0.00000
11.30,-116.69774965,32.72515610,1874.00,0.00000,0.00000,0.00000
11.30,-116.69774965,32.72515610,1874.00,0.00000,0.00000,0.00000
11.30,-116.69774965,32.72515610,1874.00,0.00000,0.00000,0.00000
11.40,-116.69646826,32.73090530,984.00,0.00000,0.00000,0.00000
11.40,-116.69646826,32.73090530,984.00,0.00000,0.00000,0.00000
11.40,-116.69646826,32.73090530,984.00,0.00000,0.00000,0.00000
11.40,-116.69646826,32.73090530,984.00,0.00000,0.00000,0.00000
11.40,-116.69646826,32.73090530,984.00,0.00000,0.00000,0.00000
11.40,-116.69646826,32.73090530,984.00,0.00000,0.00000,0.00000
11.40,-116.70394303,32.71689164,1324.00,0.00000,0.00000,0.00000
11.40,-116.70394303,32.71689164,1324.00,0.00000,0.00000,0.00000
11.40,-116.70394303,32.71689164,1324.00,0.00000,0.00000,0.00000
11.40,-116.70394303,32.71689164,1324.00,0.00000,0.00000,0.00000
11.40,-116.70394303,32.71689164,1324.00,0.00000,0.00000,0.00000
11.40,-116.70394303,32.71689164,1324.00,0.00000,0.00000,0.00000
11.40,-116.69945817,32.72964766,-186.00,0.00000,0.00000,0.00000
11.40,-116.69945817,32.72964766,-186.00,0.00000,0.00000,0.00000
11.40,-116.69945817,32.72964766,-186.00,0.00000,0.00000,0.00000
11.40,-116.69945817,32.72964766,-186.00,0.00000,0.00000,0.00000
11.40,-116.69945817,32.72964766,-186.00,0.00000,0.00000,0.00000
11.40,-116.69945817,32.72964766,-186.00,0.00000,0.00000,0.00000
11.40,-116.70084634,32.71015431,1894.00,0.00000,0.00000,0.00000
11.40,-116.70084634,32.71015431,1894.00,0.00000,0.00000,0.00000
11.40,-116.70084634,32.71015431,1894.00,0.00000,0.00000,0.00000
11.40,-116.70084634,32.71015431,1894.00,0.00000,0.00000,0.00000
11.40,-116.70084634,32.71015431,1894.00,0.00000,0.00000,0.00000
11.40,-116.70084634,32.71015431,1894.00,0.00000,0.00000,0.00000
11.40,-116.69796322,32.72515610,1884.00,0.00000,0.00000,0.00000
11.40,-116.69796322,32.72515610,1884.00,0.00000,0.00000,0.00000
11.40,-116.69796322,32.72515610,1884.00,0.00000,0.00000,0.00000
11.40,-116.69796322,32.72515610,1884.00,0.00000,0.00000,0.00000
11.40,-116.69796322,32.72515610,1884.00,0.00000,0.00000,0.00000
11.40,-116.69796322,32.72515610,1884.00,0.00000,0.00000,0.00000
11.50,-116.69657505,32.73090530,994.00,0.00000,0.00000,0.00000
11.50,-116.69657505,32.73090530,994.00,0.00000,0.00000,0.00000
11.50,-116.69657505,32.73090530,994.00,0.00000,0.00000,0.00000
11.50,-116.69657505,32.73090530,994.00,0.00000,0.00000,0.00000
11.50,-116.69657505,32.73090530,994.00,0.00000,0.00000,0.00000
11.50,-116.69657505,32.73090530,994.00,0.00000,0.00000,0.00000
11.50,-116.70415660,32.71680181,1334.00,0.00000,0.00000,0.00000
